id,City,longitude,latitude
492,Chaumont,"-1,183,992,505","34,660,131"
493,Gaillard,"-799,308,156","327,867,717"
494,Savines-le-Lac,"6,404,982","44,525,913"
495,Colomiers,"1,336,579","43,612,189"
496,La Seu d'Urgell,"14,555,525","423,575,784"
497,Vouvray,"0,799248","47,412,068"
498,Scheveningen,"43,021,834","521,024,015"
499,Sint-Niklaas,"4,154,441","511,558,839"
500,Mo�tiers,"6,529,926","45,484,615"
501,Thuir,"2,756,348","4,263,243"
502,Bourg-Madame,"1,944,595","42,434,397"
503,Bourges,"2,398,782","4,781,012"
504,Royan,"-1,043,182","45,623,027"
505,Carnon-Plage,"39,748,416","435,431,357"
506,Orci�res,"6,324,101","44,684,956"
507,Dinant,"49,127,457","50,260,494"
508,Rungis,"2,349,936","48,749,358"
509,Gourette,"-0,332111","42,958,836"
510,Mont-de-Marsan,"-0,499782","43,893,485"
511,Forest,"-962,297,579","361,811,146"
512,Ciney,"51,008,264","502,956,548"
513,Saarlouis,"67,522,865","493,134,606"
514,Ruffec,"0,199339","4,628,559"
515,Sint-Pieters-Woluwe,"44,335,038","508,299,809"
516,Maastricht,"56,909,725","508,513,682"
517,Digne,"6,235,976","4,492,193"
518,Aubagne,"55,676,425","432,926,781"
519,La Grande-Motte,"4,086,072","43,560,704"
520,Castelnaudary,"195,333","43,317,118"
521,Arlon,"58,104,804","496,851,364"
522,Jambes,"48,718,614","504,563,491"
523,S�te,"37,008,219","434,078,758"
524,Fontainebleau,"-801,223,556","25,816,968"
525,Charleville,"1,462,453,597","-264,020,616"
526,Tournai,"33,879,338","506,056,475"
527,Vals-les-Bains,"436,487","4,466,515"
528,Privas,"4,599,039","44,735,269"
529,Ivrea,"79,038,647","454,502,845"
530,Cologne,"69,602,786","50,937,531"
531,Ch�teaulin,"-4,094,207","48,195,389"
532,La Baule,"-23,913,777","472,869,183"
533,Ax-les-Thermes,"1,837,545","42,720,254"
534,Hy�res,"6,128,639","43,120,541"
535,Toulon,"5,928","43,124,228"
536,Peyrehorade,"-1,097,208","43,545,627"
537,Val d'Is�re,"6,980,226","45,448,034"
538,Arbois,"5,772,342","46,902,851"
539,Herentals,"48,355,946","511,768,541"
540,Pont l'Ev�que,"0,182766","49,284,982"
541,Saint-Nazaire,"-2,213,848","472,734,979"
542,Antibes,"7,125,102","43,580,418"
543,Bourgoin,"527,212","45,597,108"
544,Pontoise,"2,100,645","4,950,966"
545,Chalon-sur-Sa�ne,"4,853,947","46,780,764"
546,Namur,"48,719,854","504,673,883"
547,Blain,"-1,764,935","47,475,279"
548,Puy de D�me,"29,624,505","457,720,165"
549,Saint-Vincent,"-92,339,372","34,750,467"
550,Seurre,"5,145,516","46,999,317"
551,Ghent,"37,174,243","51,543,422"
552,Le Tr�port,"1,382,472","505,917"
553,B�doin,"51,803,739","44,124,008"
554,"Circuit de la Prairie, Caen","-0,370817","4,917,776"
555,Cannes,"7,017,369","43,552,847"
556,Montju�c circuit,"21,536,874","413,669,009"
557,Barcelona ,"21,734,035","413,850,639"
558,Circuit de Rouen-Les-Essarts,"10,107,009","493,336,877"
559,Z�rich,"8,541,694","473,768,866"
560,Ch�tellerault,"0,548146","46,816,487"
561,Amsterdam,"48,951,679","523,702,157"
562,Beveren,"42,581,649","512,132,494"
563,Le Puy,"3,882,936","4,542,768"
564,Aix les Bains,"5,908,998","45,692,341"
565,Epinal,"6,449,403","48,172,402"
566,St. Etienne,"43,871,779","45,439,695"
567,Vichy,"-959,479,748","367,407,622"
568,La Guerche-de-Bretagne,"-1,230,696","47,941,933"
569,St. Brieuc,"-2,765,835","4,851,418"
570,Niort,"-0,464777","46,323,716"
571,Menton,"-71,048,219","423,505,213"
572,Boulogne-sur-Mer,"1,613,334","50,725,231"
573,Aosta,"73,130,762","457,349,551"
574,Trouville,"0,082808","49,366,289"
575,Sanremo,"77,760,567","438,159,671"
576,Saint-Rapha�l,"676,837","4,342,519"
577,D�le,"549,081","479,534"
578,La Roche-sur-Yon,"-1,426,442","46,670,511"
579,Arcachon,"-11,785,016","44,652,297"
580,Laon,"361,989","49,564,133"
581,Saint-Quentin,"32,874","49,847,066"
582,Lons-le-Saunier,"5,550,796","46,671,361"
583,Champagnole,"5,905,725","46,746,091"
584,Evian,"6,590,949","46,401,488"
585,La Roche sur Yon,"-1,426,442","46,670,511"
586,Malo-les-Bains,"2,401,069","5,148,679"
587,Les Sables d'Olonne,"-1,795,493","46,492,958"
588,Dunkerque,"23,767,763","51,343,684"
589,M�lhausen,"7,335,888","47,750,839"
590,Gex,"-93,912,339","35,139,001"
591,Longwy,"5,761,773","49,519,919"
592,Douai,"3,080,602","50,367,874"
